fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,wine_quality
0.183032484,-0.088262682,0.22397738,2.798611836,-0.038083386,0.549032432,0.744782664,2.293273868,-1.231221266,-0.3364408,-1.395289346,C
-0.640289859,0.206999217,0.056475294,-0.946679491,0.142354932,-1.246502005,-0.149673496,-0.008273611,0.711107443,0.011580638,-0.831034083,C
1.476824737,0.010157951,0.558981551,0.09258983,0.187464511,-0.319774554,-0.973514696,0.353398136,0.452130281,-0.423446159,-0.347386715,C
-0.757907336,0.403840482,-1.451043476,0.112198685,-0.038083386,-0.319774554,-0.055520216,0.287639636,-0.065824041,-0.162430081,-0.750426188,C
0.183032484,-0.088262682,0.22397738,2.798611836,-0.038083386,0.549032432,0.744782664,2.293273868,-1.231221266,-0.3364408,-1.395289346,C
1.476824737,-0.580365846,0.810234679,-0.966288346,-0.083192966,-0.435615485,-0.220288456,-0.07403211,0.19315312,-0.3364408,0.378084338,C
2.064912125,-0.481945214,0.558981551,-0.436849258,-0.489179182,-1.072740608,-0.691054856,0.221881137,-0.324801202,0.359602075,-0.669818294,F
1.241589782,-0.974048378,0.307728423,-1.025114912,-0.263631284,-1.130661074,-1.491357735,-0.665858605,-0.065824041,1.22965567,0.216868549,F
-0.287437426,-1.170889644,0.558981551,-0.966288346,-0.083192966,0.722793829,0.109248024,-0.928892603,2.264970409,0.272596716,1.506594865,C
1.712059693,1.388046811,2.401504493,2.514283437,-0.263631284,0.317350569,0.791859303,2.030239871,-1.360709847,1.577677107,-0.669818294,F
-0.640289859,1.978570608,-2.45605599,-1.044723767,0.007026193,-0.319774554,-0.926438056,-0.402824608,0.322641701,-1.119489035,-0.750426188,C
-0.757907336,3.750142,1.228989893,-1.025114912,-0.75983666,-0.377695019,-1.491357735,-1.586477597,0.905340313,-0.858472956,1.829026444,A
0.653502395,0.600681748,0.726483637,-1.044723767,-0.579398341,-1.072740608,0.768320983,-0.764496354,-0.454289783,0.359602075,0.619908022,C
-0.405054903,0.305419849,-1.618545562,0.210242961,-0.083192966,-0.088092691,-0.126135176,0.484915135,0.19315312,0.098585997,-0.831034083,F
-0.522672381,0.305419849,0.391479465,-0.691764375,-0.353850443,-0.956899677,-0.855823096,-0.928892603,-0.130568331,-1.206494394,0.378084338,C
-0.052202471,-0.186683315,0.726483637,-0.927070636,0.142354932,0.317350569,-0.385056696,-0.337066108,1.811760377,-0.075424722,-0.024955136,A
0.88873735,3.848562632,-1.618545562,-0.966288346,1.270094421,-0.609376882,0.697706024,-0.10691136,-0.907499815,0.185591357,-0.992249873,F
-0.287437426,-0.088262682,0.642732594,-1.005506056,0.277683671,-1.130661074,0.085709704,0.353398136,1.488038926,-0.162430081,-0.427994609,C
0.065415007,-0.383524581,0.140226337,-1.064332622,0.277683671,-0.030172225,0.179862984,-0.337066108,1.682271797,-0.423446159,-0.427994609,C
0.418267439,0.403840482,0.22397738,-0.868244071,-0.579398341,0.085668706,-0.573363256,-1.126168101,-0.583778363,1.925698545,1.42598697,C
1.947294648,-0.383524581,0.475230508,0.778899759,-0.083192966,-0.898979211,0.085709704,1.109620879,0.06366454,0.359602075,-0.427994609,C
1.712059693,-1.367730909,0.056475294,-1.044723767,-0.173412125,-1.651945265,-2.150430695,-0.205549109,1.811760377,-0.771467597,-0.26677882,C
0.653502395,-0.285103948,0.22397738,-0.858439643,0.187464511,-0.261854088,-0.902899736,-0.665858605,-0.001079751,-0.423446159,0.216868549,C
-0.757907336,-1.564572175,0.056475294,-0.966288346,-0.038083386,0.433191501,-0.502748296,-0.041152861,1.488038926,0.185591357,-1.234073557,C
0.535884917,0.010157951,0.810234679,-0.927070636,1.540751899,-0.841058745,-0.361518376,-1.159047351,-0.001079751,-0.597456878,1.829026444,F
-0.405054903,1.092784912,-0.864786177,-0.201542997,0.232574091,-0.609376882,0.250477944,-0.205549109,0.322641701,-1.206494394,-0.427994609,F
